PARENT_COUNTRY_CODE,PARENT_COUNTRY_NAME,AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,RELATED_PARTY_REVENUES,TOTAL_REVENUES,UNRELATED_PARTY_REVENUES,NB_AFFILIATE_COUNTRIES,CONTINENT_CODE
AUS,Australia,ARE,United Arab Emirates,18265314.57,132218351.41,113953035.83,60,APAC
AUS,Australia,ARG,Argentina,43578028.15,708912689.66,665334660.5,60,AMR
AUS,Australia,AUS,Australia,63295758010.54,472918958984.89,409623200978.6,60,APAC
AUS,Australia,AUT,Austria,2775287.3,100271030.59,97495742.54,60,EUR
AUS,Australia,BEL,Belgium,176125918.58,1091712065.86,915586147.28,60,EUR
AUS,Australia,BMU,Bermuda,3653739723.61,3836627572.89,182887848.53,60,AMR
AUS,Australia,BRA,Brazil,470846559.24,1235936486.11,765089927.12,60,AMR
AUS,Australia,CAN,Canada,492033271.36,3206982024.26,2714948752.63,60,AMR
AUS,Australia,CHE,Switzerland,4469744692.84,5376022659.64,906277966.81,60,EUR
AUS,Australia,CHL,Chile,218428673.07,7100643609.14,6882214937.08,60,AMR
AUS,Australia,CHN,China (People's Republic of),362283222.35,1977352077.88,1615068855.3,60,APAC
AUS,Australia,COL,Colombia,377641684.7,599640987.49,221999301.79,60,AMR
AUS,Australia,CZE,Czech Republic,16247800.38,73319725.22,57071925.82,60,EUR
AUS,Australia,DEU,Germany,3131050649.55,5705143166.65,2574092519.59,60,EUR
AUS,Australia,DNK,Denmark,14150296.81,147129058.73,132978762.66,60,EUR
AUS,Australia,ECU,Ecuador,7591855.54,189477686.58,181885830.05,60,AMR
AUS,Australia,ESP,Spain,31832125.78,367421719.49,335589592.98,60,EUR
AUS,Australia,FIN,Finland,1875767.18,52677663.18,50801896.0,60,EUR
AUS,Australia,FJI,Fiji,5191113.65,152697210.18,147506097.26,60,APAC
AUS,Australia,FRA,France,174119018.17,3130860133.5,2956741115.35,60,EUR
AUS,Australia,GBR,United Kingdom,10548410820.83,25863049125.64,15314638307.27,60,EUR
AUS,Australia,GGY,Guernsey,121931791.39,128604236.39,6672445.0,60,EUR
AUS,Australia,HKG,"Hong Kong, China",1191931820.97,4409530329.56,3217598507.85,60,APAC
AUS,Australia,IDN,Indonesia,181647911.35,2521506456.45,2339858545.1,60,APAC
AUS,Australia,IND,India,120214333.8,427799023.63,307584689.09,60,APAC
AUS,Australia,IRL,Ireland,141428114.0,1060952589.11,919524473.36,60,EUR
AUS,Australia,ITA,Italy,107029843.96,638648181.39,531618337.69,60,EUR
AUS,Australia,JEY,Jersey,32166962.91,169228392.46,137061429.54,60,EUR
AUS,Australia,JPN,Japan,128732206.27,698628557.38,569896347.89,60,APAC
AUS,Australia,KOR,Korea,63974300.19,348967126.26,284992826.07,60,APAC
AUS,Australia,LUX,Luxembourg,54897129.1,881262347.02,826365217.9,60,EUR
AUS,Australia,MEX,Mexico,24475123.36,414087168.88,389612044.78,60,AMR
AUS,Australia,MLT,Malta,-809016.41,26641774.64,27450791.05,60,EUR
AUS,Australia,MUS,Mauritius,720028.36,10481580.6,9761552.24,60,AFR
AUS,Australia,MYS,Malaysia,925463945.87,1583339895.21,657875951.82,60,APAC
AUS,Australia,NAM,Namibia,732680.6,5754585.07,5021904.48,60,AFR
AUS,Australia,NLD,Netherlands,78829173.8,664597833.35,585768659.04,60,EUR
AUS,Australia,NOR,Norway,2938201.49,114637576.12,111699375.37,60,EUR
AUS,Australia,NZL,New Zealand,6385372363.62,21585835054.23,15200462689.09,60,APAC
AUS,Australia,OAFR,Other Africa,548689245.95,1155563696.44,606874449.02,60,AFR
AUS,Australia,OAMR,Other Americas,17979633.33,220146550.26,202166916.67,60,AMR
AUS,Australia,OASIAOCN,Other Asia,244626276.55,1404754709.26,1160128429.43,60,APAC
AUS,Australia,OEUR,Other Europe,105290619.3,367781083.07,262490462.28,60,EUR
AUS,Australia,PER,Peru,13769237.65,329052088.72,315282851.06,60,AMR
AUS,Australia,PHL,Philippines,210025954.56,432072590.88,222046637.08,60,APAC
AUS,Australia,PNG,Papua New Guinea,33841023.89,2203645739.05,2169804715.15,60,APAC
AUS,Australia,POL,Poland,20975496.61,293746802.04,272771305.44,60,EUR
AUS,Australia,PRT,Portugal,26889596.49,175409582.99,148519986.51,60,EUR
AUS,Australia,RUS,Russia,4300326.03,308031619.18,303731293.16,60,APAC
AUS,Australia,SGP,Singapore,10552223798.55,43471663903.65,32919440104.11,60,APAC
AUS,Australia,SLB,Solomon Islands,10649099.25,73145406.76,62496306.76,60,APAC
AUS,Australia,SWE,Sweden,60805388.46,322611525.43,261806136.23,60,EUR
AUS,Australia,THA,Thailand,218891854.09,1330405520.18,1111513665.15,60,APAC
AUS,Australia,TTO,Trinidad and Tobago,-808414.75,155190571.52,155998985.26,60,AMR
AUS,Australia,TUR,Turkey,5343035.62,312498720.59,307155684.97,60,APAC
AUS,Australia,TWN,Chinese Taipei,4354520.9,42499531.33,38145010.43,60,APAC
AUS,Australia,UKI,UK Caribbean Islands,46496486.8,424738202.95,378241716.14,60,AMR
AUS,Australia,USA,United States,7843671044.42,45889856265.18,38046185218.54,60,AMR
AUS,Australia,VNM,Viet Nam,47992410.92,484674084.79,436681674.86,60,APAC
AUS,Australia,ZAF,South Africa,1943398605.29,3556822893.3,1613424287.02,60,AFR
AUT,Austria,AFRIC,Africa,622731354.828,1051635758.39,428904404.669,5,AFR
AUT,Austria,AMER,America (Continent),5715101741.674,39033627158.921,33323188624.926,5,AMR
AUT,Austria,ASIAT,Asia,7215269178.228,32832858942.406,25619392267.588,5,APAC
AUT,Austria,AUT,Austria,46115047878.466,174135151509.61,128049602907.79,5,EUR
AUT,Austria,EUROP,Europe,52347946825.374,226715291085.11,174361330649.05,5,EUR
BEL,Belgium,ARG,Argentina,387312916.667,2421812337.5,2034499420.833,44,AMR
BEL,Belgium,AUS,Australia,581854661.667,2150914617.5,1569059955.833,44,APAC
BEL,Belgium,AUT,Austria,79122495.833,566694127.5,487682292.5,44,EUR
BEL,Belgium,BEL,Belgium,35214158400.833,129796857937.5,94582588875.833,44,EUR
BEL,Belgium,BRA,Brazil,5438647975.833,15256366448.333,9817718472.5,44,AMR
BEL,Belgium,CAN,Canada,717635504.167,4718467272.5,4000721107.5,44,AMR
BEL,Belgium,CHE,Switzerland,1655264745.0,12538979025.0,10883714280.0,44,EUR
BEL,Belgium,CHL,Chile,169421735.833,1197460877.5,1028039141.667,44,AMR
BEL,Belgium,CHN,China (People's Republic of),4471582953.333,12599953144.167,8128370190.833,44,APAC
BEL,Belgium,COL,Colombia,310403637.5,1142462443.333,832058805.833,44,AMR
BEL,Belgium,CZE,Czech Republic,593474049.167,3604334002.5,3010859953.333,44,EUR
BEL,Belgium,DEU,Germany,6559088913.333,21622241546.667,15063263294.167,44,EUR
BEL,Belgium,DNK,Denmark,36407414.167,335855629.167,299448215.0,44,EUR
BEL,Belgium,ESP,Spain,869019524.167,2600418922.5,1731399398.333,44,EUR
BEL,Belgium,FRA,France,7842201275.833,19257751520.833,11415550245.0,44,EUR
BEL,Belgium,GBR,United Kingdom,55658194055.0,65493507600.0,9835313545.0,44,EUR
BEL,Belgium,GRC,Greece,1125199353.333,4558009064.167,3432809710.833,44,EUR
BEL,Belgium,HKG,"Hong Kong, China",147068247.5,516454109.167,369385861.667,44,APAC
BEL,Belgium,HUN,Hungary,67613769.167,1029809715.0,962195945.833,44,EUR
BEL,Belgium,IND,India,151162698.333,1110813445.0,959650746.667,44,APAC
BEL,Belgium,IRL,Ireland,-1082816254.167,192992493.333,1275919408.333,44,EUR
BEL,Belgium,ITA,Italy,1214723967.5,4891983459.167,3677259491.667,44,EUR
BEL,Belgium,JPN,Japan,197861570.0,1442574623.333,1244602392.5,44,APAC
BEL,Belgium,LUX,Luxembourg,32740114150.0,40887407343.333,8147403854.167,44,EUR
BEL,Belgium,MEX,Mexico,5864360201.667,13771962030.0,7907601828.333,44,AMR
BEL,Belgium,MYS,Malaysia,51346626.667,248322910.0,196865622.5,44,APAC
BEL,Belgium,NLD,Netherlands,50210139908.333,57144701029.166,6934561120.833,44,EUR
BEL,Belgium,NOR,Norway,91295187.5,385874325.833,294579138.333,44,EUR
BEL,Belgium,OAFR,Other Africa,188898042.5,1617861383.333,1428963340.833,44,AFR
BEL,Belgium,OAMR,Other Americas,1055151045.833,4275713278.333,3220451571.667,44,AMR
BEL,Belgium,OASIAOCN,Other Asia,630434767.5,6274247928.333,5643813160.833,44,APAC
BEL,Belgium,OEUR,Other Europe,844784801.667,2608054520.0,1763269718.333,44,EUR
BEL,Belgium,PER,Peru,89413953.333,919259542.5,829845589.167,44,AMR
BEL,Belgium,POL,Poland,247880266.667,1200227398.333,952347131.667,44,EUR
BEL,Belgium,PRT,Portugal,77462583.333,2335939530.833,2258476947.5,44,EUR
BEL,Belgium,ROU,Romania,78458530.833,1021620813.333,943162282.5,44,EUR
BEL,Belgium,RUS,Russia,112210085.0,1376952749.167,1264742664.167,44,APAC
BEL,Belgium,SGP,Singapore,222870918.333,1335233615.0,1112252035.833,44,APAC
BEL,Belgium,SVK,Slovak Republic,112320745.833,822099330.833,709778585.0,44,EUR
BEL,Belgium,SWE,Sweden,43047064.167,235264931.667,192107206.667,44,EUR
BEL,Belgium,TUR,Turkey,68499055.833,540467510.0,471968454.167,44,APAC
BEL,Belgium,UKR,Ukraine,43268385.833,252196039.167,208927653.333,44,EUR
BEL,Belgium,USA,United States,14546809185.0,74866480183.333,60319781659.166,44,AMR
BEL,Belgium,ZAF,South Africa,258503706.667,1837633798.333,1579130091.667,44,AFR
BMU,Bermuda,ARE,United Arab Emirates,95221443.0,229605465.0,134384022.0,72,APAC
BMU,Bermuda,ARG,Argentina,2834920008.0,3784784816.0,949864808.0,72,AMR
BMU,Bermuda,AUS,Australia,524356225.0,997338911.48,472982683.48,72,APAC
BMU,Bermuda,AUT,Austria,4518243474.36,6394849385.68,1876606913.32,72,EUR
BMU,Bermuda,BEL,Belgium,829764009.0,1197888432.0,368125423.0,72,EUR
BMU,Bermuda,BGR,Bulgaria,19963839.48,159573070.16,139609230.68,72,EUR
BMU,Bermuda,BHS,Bahamas,229394803.62,229581244.62,186441.0,72,AMR
BMU,Bermuda,BMU,Bermuda,18731220510.889,29720006552.79,11032456527.26,72,AMR
BMU,Bermuda,BOL,Bolivia,42940114.04,2111373042.18,2068432929.14,72,AMR
BMU,Bermuda,BRA,Brazil,5101797340.0,10702952521.0,5601155184.0,72,AMR
BMU,Bermuda,BRB,Barbados,188075317.0,260714938.0,72639620.0,72,AMR
BMU,Bermuda,CAN,Canada,646392914.03,5031524189.26,4385131275.23,72,AMR
BMU,Bermuda,CHE,Switzerland,24236943626.0,35111057068.0,10874114441.0,72,EUR
BMU,Bermuda,CHL,Chile,110799736.12,707190730.22,596390994.1,72,AMR
BMU,Bermuda,CHN,China (People's Republic of),239451329665.0,508099498561.48,268648287092.48,72,APAC
BMU,Bermuda,COL,Colombia,23973100.3,1466685261.3,1442712161.0,72,AMR
BMU,Bermuda,CYP,Cyprus,132502777.0,1250829144.0,1118326367.0,72,EUR
BMU,Bermuda,CZE,Czech Republic,20552887.0,93400706.0,72847818.0,72,EUR
BMU,Bermuda,DEU,Germany,4219879192.76,15311354771.96,11091475580.2,72,EUR
BMU,Bermuda,DNK,Denmark,14513051.52,857821276.72,843308232.96,72,EUR
BMU,Bermuda,EGY,Egypt,8553662.0,62246545.0,53692883.0,72,AFR
BMU,Bermuda,ESP,Spain,2116274848.0,4357717448.0,2241442601.0,72,EUR
BMU,Bermuda,FIN,Finland,31787604.0,127256357.0,95468753.0,72,EUR
BMU,Bermuda,FRA,France,650663367.08,3959699254.68,3309036887.6,72,EUR
BMU,Bermuda,GBR,United Kingdom,8571412929.0,24273592982.0,15702179052.0,72,EUR
BMU,Bermuda,GGY,Guernsey,1391200.0,50181682.0,48790482.0,72,EUR
BMU,Bermuda,GIB,Gibraltar,8366613.0,14268950.0,5902337.0,72,EUR
BMU,Bermuda,GRPS,Other Groups,1236060614.0,4907344267.0,3670381634.0,72,OTHER_GROUPS
BMU,Bermuda,HKG,"Hong Kong, China",2804645195.32,15636112391.56,12831467196.24,72,APAC
BMU,Bermuda,HUN,Hungary,192720246.4,978013174.0,785292928.6,72,EUR
BMU,Bermuda,IDN,Indonesia,6472703126.28,27831040036.52,21358336902.48,72,APAC
BMU,Bermuda,IMN,Isle of Man,106694632.0,322490196.0,215795564.0,72,EUR
BMU,Bermuda,IND,India,611911407.0,6626254860.12,3233216453.12,72,APAC
BMU,Bermuda,IRL,Ireland,260266383.0,1773173100.0,1512906714.0,72,EUR
BMU,Bermuda,ISR,Israel,10424946.0,10071441.0,-353505.0,72,APAC
BMU,Bermuda,ITA,Italy,249794644.0,2109805785.88,1864103376.88,72,EUR
BMU,Bermuda,JEY,Jersey,34652355.0,36194246.0,1541892.0,72,EUR
BMU,Bermuda,JPN,Japan,160090789.0,1115331147.51,955240359.51,72,APAC
BMU,Bermuda,KEN,Kenya,9571767.0,90972965.0,81401197.0,72,AFR
BMU,Bermuda,KOR,Korea,45043484.0,183545898.0,138502415.0,72,APAC
BMU,Bermuda,LBR,Liberia,9082000.0,9726283.0,644283.0,72,AFR
BMU,Bermuda,LUX,Luxembourg,800593122.78,1483027680.78,682434562.0,72,EUR
BMU,Bermuda,MAC,"Macau, China",13886214556.12,59127951445.16,45241736889.04,72,APAC
BMU,Bermuda,MAR,Morocco,43121.0,15631782.0,15588661.0,72,AFR
BMU,Bermuda,MEX,Mexico,112594778.0,1412121871.4,1299527095.4,72,AMR
BMU,Bermuda,MLT,Malta,4782426.0,4982946.0,200520.0,72,EUR
BMU,Bermuda,MMR,Myanmar,0.0,4023922.0,4023922.0,72,APAC
BMU,Bermuda,MUS,Mauritius,25186502.0,201046829.0,175860327.0,72,AFR
BMU,Bermuda,MYS,Malaysia,182724329.0,2480892360.0,2298167032.0,72,APAC
BMU,Bermuda,NLD,Netherlands,726160336.32,1050134784.32,323974446.0,72,EUR
BMU,Bermuda,NOR,Norway,283526484.0,1907867995.0,1624341509.0,72,EUR
BMU,Bermuda,NZL,New Zealand,14452271.0,36469152.0,22016880.0,72,APAC
BMU,Bermuda,PAN,Panama,2230455014.64,2295798203.34,65343193.7,72,AMR
BMU,Bermuda,PER,Peru,2047846630.06,58164734030.959,56116887400.899,72,AMR
BMU,Bermuda,PHL,Philippines,30623755.0,2265484728.2,2234860964.2,72,APAC
BMU,Bermuda,POL,Poland,93769906.0,268725085.0,960432881.0,72,EUR
BMU,Bermuda,PRT,Portugal,11243405.0,365012453.0,353769049.0,72,EUR
BMU,Bermuda,ROU,Romania,111574062.0,427197922.0,315623859.0,72,EUR
BMU,Bermuda,RUS,Russia,6777432842.0,10269002831.0,3491569988.0,72,APAC
BMU,Bermuda,SAU,Saudi Arabia,16556889.0,207839612.0,191282723.0,72,APAC
BMU,Bermuda,SGP,Singapore,18328642704.0,29516317352.0,11187674646.0,72,APAC
BMU,Bermuda,SWE,Sweden,77718742.0,328515071.71,250795329.71,72,EUR
BMU,Bermuda,THA,Thailand,14735820.0,1462375058.32,1447639238.32,72,APAC
BMU,Bermuda,TUR,Turkey,5953107.0,492692259.0,486739151.0,72,APAC
BMU,Bermuda,TWN,Chinese Taipei,21442887.0,1052007333.0,1030564445.0,72,APAC
BMU,Bermuda,UKI,UK Caribbean Islands,1552497368.96,4097134931.0600004,2544637561.1,72,AMR
BMU,Bermuda,UKR,Ukraine,597414770.0,1014494133.04,417079363.04,72,EUR
BMU,Bermuda,URY,Uruguay,5483437614.0,11353564759.02,5870127145.02,72,AMR
BMU,Bermuda,USA,United States,10389955822.96,60570633544.04,50180677720.08,72,AMR
BMU,Bermuda,VEN,Venezuela,118574.0,74792259.0,74673684.0,72,AMR
BMU,Bermuda,VNM,Viet Nam,16495396.0,2100183991.56,2083688595.56,72,APAC
BMU,Bermuda,ZAF,South Africa,30021391.04,4295163145.8,4265141754.76,72,AFR
BRA,Brazil,ARE,United Arab Emirates,854069045.0,1153455195.0,299386150.0,43,APAC
BRA,Brazil,ARG,Argentina,908188235.0,6762075402.0,5853887168.0,43,AMR
BRA,Brazil,AUS,Australia,1283460073.0,5753243742.0,4469783669.0,43,APAC
BRA,Brazil,AUT,Austria,5081174161.0,12864891724.0,7783717563.0,43,EUR
BRA,Brazil,BEL,Belgium,40192294.0,165066852.0,124874557.0,43,EUR
BRA,Brazil,BHS,Bahamas,3280655536.0,17653245538.0,14372590002.0,43,AMR
BRA,Brazil,BMU,Bermuda,203893495.0,277294134.0,73400639.0,43,AMR
BRA,Brazil,BOL,Bolivia,5569892.0,297581447.0,292011555.0,43,AMR
BRA,Brazil,BRA,Brazil,234262532190.0,1009524795638.0,775262263448.0,43,AMR
BRA,Brazil,CAN,Canada,3575619516.0,6992413538.0,3416794022.0,43,AMR
BRA,Brazil,CHE,Switzerland,2739939156.0,31476887815.0,28736948659.0,43,EUR
BRA,Brazil,CHL,Chile,611921825.0,10377651282.0,9765729456.0,43,AMR
BRA,Brazil,CHN,China (People's Republic of),499448676.0,1512029258.0,1012580582.0,43,APAC
BRA,Brazil,COL,Colombia,250696275.0,2780913943.0,2530217668.0,43,AMR
BRA,Brazil,DEU,Germany,373519035.0,5387609140.0,5014090104.0,43,EUR
BRA,Brazil,DOM,Dominican Republic,0.0,1028084802.0,1028084802.0,43,AMR
BRA,Brazil,ECU,Ecuador,14045708.0,215517563.0,201471855.0,43,AMR
BRA,Brazil,ESP,Spain,379498957.0,1078697298.0,699198341.0,43,EUR
BRA,Brazil,FRA,France,94157233.0,917723376.0,823566143.0,43,EUR
BRA,Brazil,GBR,United Kingdom,903613935.0,5394482430.0,4490868495.0,43,EUR
BRA,Brazil,HKG,"Hong Kong, China",128980210.0,162384562.0,33404353.0,43,APAC
BRA,Brazil,IND,India,21864410.0,167595968.0,145731558.0,43,APAC
BRA,Brazil,ITA,Italy,79374132.0,686838524.0,607464392.0,43,EUR
BRA,Brazil,JPN,Japan,66161967.0,596078216.0,529916249.0,43,APAC
BRA,Brazil,LUX,Luxembourg,2470230342.0,3079832968.0,609602627.0,43,EUR
BRA,Brazil,MEX,Mexico,2094342634.0,5297714805.0,3203372171.0,43,AMR
BRA,Brazil,MOZ,Mozambique,834192381.0,1365228877.0,531036495.0,43,AFR
BRA,Brazil,MYS,Malaysia,935820348.0,990580003.0,54759655.0,43,APAC
BRA,Brazil,NLD,Netherlands,20759285296.0,33597094144.0,12837808849.0,43,EUR
BRA,Brazil,OAFR,Other Africa,877518567.0,3222475806.0,2344957239.0,43,AFR
BRA,Brazil,OAMR,Other Americas,16603221.0,203045894.0,186442673.0,43,AMR
BRA,Brazil,OASIAOCN,Other Asia,1542384047.0,3329812912.0,1787428866.0,43,APAC
BRA,Brazil,OEUR,Other Europe,360681868.0,1470903666.0,1110221797.0,43,EUR
BRA,Brazil,PAN,Panama,24137647.0,1486033608.0,1461895961.0,43,AMR
BRA,Brazil,PER,Peru,2228861279.0,4218710965.0,1989849686.0,43,AMR
BRA,Brazil,PRT,Portugal,356145834.0,1265469742.0,909323909.0,43,EUR
BRA,Brazil,PRY,Paraguay,138849437.0,1827150028.0,1688300591.0,43,AMR
BRA,Brazil,SGP,Singapore,1026839004.0,6004389563.0,4977550559.0,43,APAC
BRA,Brazil,UKI,UK Caribbean Islands,4516426987.0,20285839146.0,15769412157.0,43,AMR
BRA,Brazil,URY,Uruguay,852316691.0,2740324988.0,1888008297.0,43,AMR
BRA,Brazil,USA,United States,14970430867.0,53832993115.0,38862562248.0,43,AMR
BRA,Brazil,VEN,Venezuela,391949775.0,4874883284.0,4482933509.0,43,AMR
BRA,Brazil,ZAF,South Africa,127479314.0,880348991.0,752869677.0,43,AFR
CAN,Canada,AFRIC,Africa,0.0,7923599000.0,0.0,14,AFR
CAN,Canada,AUS,Australia,1241108000.0,13123811000.0,11882703000.0,14,APAC
CAN,Canada,CAN,Canada,115683928000.0,544615681000.0,428931753000.0,14,AMR
CAN,Canada,CHN,China (People's Republic of),4359659000.0,11344778000.0,6985119000.0,14,APAC
CAN,Canada,ESP,Spain,0.0,0.0,0.0,14,EUR
CAN,Canada,FRA,France,482048000.0,3661112000.0,3179064000.0,14,EUR
CAN,Canada,GBR,United Kingdom,6304600000.0,27206243000.0,20901643000.0,14,EUR
CAN,Canada,ITA,Italy,0.0,2215018000.0,0.0,14,EUR
CAN,Canada,MEX,Mexico,3024926000.0,10912309000.0,7887383000.0,14,AMR
CAN,Canada,NLD,Netherlands,1431763000.0,2922114000.0,1490352000.0,14,EUR
CAN,Canada,OAMR,Other Americas,22794437000.0,47383260000.0,24588824000.0,14,AMR
CAN,Canada,OASIAOCN,Other Asia,10192229000.0,43951922000.0,33759693000.0,14,APAC
CAN,Canada,OEUR,Other Europe,40531597000.0,81983608000.0,41452012000.0,14,EUR
CAN,Canada,USA,United States,58665121000.0,287540870000.0,228875749000.0,14,AMR
CHL,Chile,AFRIC,Africa,0.0,0.0,0.0,18,AFR
CHL,Chile,ARG,Argentina,837846458.263,7505041228.778,6667194770.515,18,AMR
CHL,Chile,BEL,Belgium,163450498.321,1070820523.533,907370025.212,18,EUR
CHL,Chile,BRA,Brazil,1576060608.411,11116903172.578,9540842564.167,18,AMR
CHL,Chile,CHL,Chile,19949264277.038,86773320956.777,66824056679.74,18,AMR
CHL,Chile,CHN,China (People's Republic of),56094546.175,106414300.734,50319754.559,18,APAC
CHL,Chile,COL,Colombia,582508789.54,7042162843.997,6459654054.457,18,AMR
CHL,Chile,ECU,Ecuador,92013780.23,728573635.529,636559855.298,18,AMR
CHL,Chile,MEX,Mexico,162447498.017,1156812726.742,994365228.724,18,AMR
CHL,Chile,OAMR,Other Americas,96780414.16,1506458643.282,1409678229.122,18,AMR
CHL,Chile,OASIAOCN,Other Asia,191582654.863,402797021.227,211214366.363,18,APAC
CHL,Chile,OEUR,Other Europe,88074669.366,2534062108.028,2445987438.662,18,EUR
CHL,Chile,PAN,Panama,304441361.892,1616435417.945,1311994056.053,18,AMR
CHL,Chile,PER,Peru,816252516.813,6699850373.384,5883597856.571,18,AMR
CHL,Chile,SGP,Singapore,2738896.687,205916979.54,203178082.852,18,APAC
CHL,Chile,UKI,UK Caribbean Islands,45252785.153,63485207.116,18232421.963,18,AMR
CHL,Chile,URY,Uruguay,409606163.408,645685437.813,236079274.405,18,AMR
CHL,Chile,USA,United States,351845815.975,4044031400.919,3692185584.945,18,AMR
CHN,China (People's Republic of),AGO,Angola,878190185.11,1150018782.846,271828597.732,93,AFR
CHN,China (People's Republic of),ARE,United Arab Emirates,2367856281.006,4655095476.749,2287239195.646,93,APAC
CHN,China (People's Republic of),ARG,Argentina,73474631.127,1684007955.206,1610533323.974,93,AMR
CHN,China (People's Republic of),AUS,Australia,2818307925.291,10545630193.922,7727322268.601,93,APAC
CHN,China (People's Republic of),AUT,Austria,26819895.678,433519870.884,406699975.303,93,EUR
CHN,China (People's Republic of),BEL,Belgium,80477127.911,902356107.724,821878979.843,93,EUR
CHN,China (People's Republic of),BGD,Bangladesh,84720752.363,195365682.42,110644930.059,93,APAC
CHN,China (People's Republic of),BLR,Belarus,1304158.774,359715200.998,358411042.224,93,EUR
CHN,China (People's Republic of),BMU,Bermuda,220574992.997,222246265.706,1671272.709,93,AMR
CHN,China (People's Republic of),BOL,Bolivia,4304025.384,280368749.623,276064724.322,93,AMR
CHN,China (People's Republic of),BRA,Brazil,451393184.777,4754707820.247,4303314635.524,93,AMR
CHN,China (People's Republic of),BRN,Brunei Darussalam,501492.806,35768514.652,35267021.836,93,APAC
CHN,China (People's Republic of),CAN,Canada,2423858015.997,9387869119.705,6964011103.663,93,AMR
CHN,China (People's Republic of),CHE,Switzerland,80853462.093,698815001.438,617961539.221,93,EUR
CHN,China (People's Republic of),CHL,Chile,50795061.988,318088721.648,267293659.709,93,AMR
CHN,China (People's Republic of),CHN,China (People's Republic of),906363407331.89,3832923904344.0,2926560497012.1,93,APAC
CHN,China (People's Republic of),CIV,Côte d'Ivoire,79448119.327,123481512.646,44033393.325,93,AFR
CHN,China (People's Republic of),CMR,Cameroon,54489424.916,338765615.306,284276190.39,93,AFR
CHN,China (People's Republic of),COD,Democratic Republic of the Congo,235380217.971,841715552.408,606335334.434,93,AFR
CHN,China (People's Republic of),COG,Congo,100936477.627,212598873.488,111662395.861,93,AFR
CHN,China (People's Republic of),COL,Colombia,60280621.119,749211531.715,688930910.551,93,AMR
CHN,China (People's Republic of),CZE,Czech Republic,148354634.015,551137244.883,402782610.92,93,EUR
CHN,China (People's Republic of),DEU,Germany,1436560988.324,8602483182.913,7165922194.74,93,EUR
CHN,China (People's Republic of),DZA,Algeria,43181488.069,1743711800.148,1700530312.072,93,AFR
CHN,China (People's Republic of),ECU,Ecuador,36507176.602,1711710006.929,1675202830.318,93,AMR
CHN,China (People's Republic of),EGY,Egypt,91684256.928,209871490.947,118187234.095,93,AFR
CHN,China (People's Republic of),ESP,Spain,106669699.914,1774094143.104,1667424443.25,93,EUR
CHN,China (People's Republic of),ETH,Ethiopia,8427744.123,928880145.747,920452401.616,93,AFR
CHN,China (People's Republic of),FIN,Finland,59196420.916,425405866.962,366209446.182,93,EUR
CHN,China (People's Republic of),FRA,France,514967711.325,3131509368.081,2616541656.771,93,EUR
CHN,China (People's Republic of),GAB,Gabon,10772520.788,20099110.348,9326589.56,93,AFR
CHN,China (People's Republic of),GBR,United Kingdom,14966734318.295,67189678618.938,52222944300.643,93,EUR
CHN,China (People's Republic of),GHA,Ghana,31640776.548,118082086.423,86441309.872,93,AFR
CHN,China (People's Republic of),HKG,"Hong Kong, China",168916638543.43,315681674090.05,146765035546.63,93,APAC
CHN,China (People's Republic of),HUN,Hungary,1043174803.649,2491984613.968,1448809810.334,93,EUR
CHN,China (People's Republic of),IDN,Indonesia,856123461.078,5016537091.743,4160413630.649,93,APAC
CHN,China (People's Republic of),IND,India,224788938.782,3941977999.44,3717189060.658,93,APAC
CHN,China (People's Republic of),IRL,Ireland,277393429.446,2440527408.107,2163133978.666,93,EUR
CHN,China (People's Republic of),IRQ,Iraq,2830997825.797,4492077119.612,1661079293.821,93,APAC
CHN,China (People's Republic of),ITA,Italy,92522804.363,2043348303.145,1950825498.706,93,EUR
